"GCM","rcp","proj.year","Act","Py","Fd","At","Ep","Pl","Sx","Pj","Acb","Sb","Bb","Bl","Bg","Cw","Dr","Mb","Hw","Ss","Ps","Bc","Pw","Yp","Oc","Lw","Ba","Bp","Yc","Hm"
"obs","obs",1975,343,4,28484,64245,29349,79969,80611,0,0,2948,0,49456,0,105,105,0,874,105,0,0,0,0,0,0,2773,0,747,2711
"obs","obs",2005,124,4,28321,58394,11969,79195,76986,0,0,0,0,31808,0,97,97,0,858,97,0,0,0,0,0,0,2701,0,441,2630
"ensemble","rcp45",2025,193,4,16964,57621,21276,75223,67039,0,0,0,0,36028,0,105,104,0,811,74,0,0,0,0,0,0,2175,0,77,1369
"CanESM2","rcp45",2025,324,4,28484,62494,20401,77158,77278,0,0,0,0,37026,0,105,49,0,874,0,0,0,0,0,0,0,2006,0,487,198
"CCSM4","rcp45",2025,154,4,28243,58336,6907,65176,62757,0,0,0,0,25262,0,105,98,0,833,46,0,0,0,0,0,0,1754,0,64,1125
"CESM1-CAM5","rcp45",2025,133,4,28463,57072,3823,76998,76961,0,0,0,0,31568,0,101,88,0,808,16,0,0,0,0,0,0,2160,0,402,832
"CSIRO-Mk3-6-0","rcp45",2025,105,4,28016,58961,10572,78286,77664,0,0,0,0,34300,0,97,88,0,812,42,0,0,0,0,0,0,2138,0,328,1644
"GISS-E2R","rcp45",2025,102,4,28111,62669,26626,79681,77690,0,0,0,0,35048,0,102,96,0,796,89,0,0,0,0,0,0,2264,0,365,2171
"HadGEM2-ES","rcp45",2025,163,4,28484,59063,10298,66217,65078,0,0,0,0,28134,0,105,67,0,851,11,0,0,0,0,0,0,2358,0,168,748
"MIROC-ESM","rcp45",2025,45,4,3220,63794,27931,79404,76631,0,0,0,0,48111,0,99,99,0,874,99,0,0,0,0,0,0,2670,0,127,1951
"MPI-ESM-LR","rcp45",2025,260,4,14975,51740,22421,77736,77994,0,0,0,0,43165,0,103,101,0,856,42,0,0,0,0,0,0,2556,0,483,1907
"ensemble","rcp45",2055,255,4,26251,61207,23509,76523,72532,0,0,0,0,35141,0,105,79,0,874,15,0,0,0,0,0,0,2026,0,415,335
"CanESM2","rcp45",2055,117,4,28484,17834,29202,79010,32375,0,0,0,0,26691,0,105,2,0,863,0,0,0,0,0,0,0,739,0,445,53
"CCSM4","rcp45",2055,186,4,28452,61561,24187,70736,68022,0,0,0,0,24915,0,105,85,0,874,13,0,0,0,0,0,0,1357,0,120,577
"CESM1-CAM5","rcp45",2055,296,4,25683,61549,21589,76746,74808,0,0,0,0,35347,0,105,90,0,874,0,0,0,0,0,0,0,2367,0,501,216
"CSIRO-Mk3-6-0","rcp45",2055,205,4,28484,62446,8974,73969,73799,0,0,0,0,22835,0,105,59,0,867,0,0,0,0,0,0,0,1922,0,435,162
"GISS-E2R","rcp45",2055,219,2,27741,54252,25209,79156,76264,0,0,0,0,40264,0,94,82,0,822,79,0,0,0,0,0,0,2516,0,295,2454
"HadGEM2-ES","rcp45",2055,267,4,28484,57873,28872,69043,62185,0,0,0,0,21734,0,105,55,0,874,0,0,0,0,0,0,0,956,0,358,64
"MIROC-ESM","rcp45",2055,192,4,28407,63329,29264,77975,74008,0,0,0,0,34204,0,105,105,0,874,82,0,0,0,0,0,0,2654,0,178,234
"MPI-ESM-LR","rcp45",2055,156,4,10613,63645,26934,77830,73671,0,0,0,0,46159,0,105,105,0,874,41,0,0,0,0,0,0,2766,0,188,1878
"ensemble","rcp45",2085,197,4,28270,59742,28752,76809,70799,0,0,0,0,29798,0,105,96,0,874,22,0,0,0,0,0,0,1392,0,384,256
"CanESM2","rcp45",2085,23,1,28481,18934,29291,79867,32933,0,0,0,0,23493,0,103,18,0,692,0,0,0,0,0,0,0,201,0,171,47
"CCSM4","rcp45",2085,120,4,28416,61720,28598,74175,71245,0,0,0,0,28029,0,105,92,0,874,31,0,0,0,0,0,0,1244,0,85,608
"CESM1-CAM5","rcp45",2085,286,4,28484,61120,28874,75518,71017,0,0,0,0,20189,0,105,89,0,874,0,0,0,0,0,0,0,1026,0,490,8
"CSIRO-Mk3-6-0","rcp45",2085,263,4,28484,60992,21210,75688,72599,0,0,0,0,18617,0,105,76,0,874,6,0,0,0,0,0,0,1940,0,570,59
"GISS-E2R","rcp45",2085,211,4,27864,55109,23937,78927,78023,0,0,0,0,39617,0,104,48,0,792,24,0,0,0,0,0,0,1899,0,214,1745
"HadGEM2-ES","rcp45",2085,158,4,28484,49565,29317,74536,61348,0,0,0,0,21886,0,105,16,0,874,0,0,0,0,0,0,0,501,0,24,18
"MIROC-ESM","rcp45",2085,155,4,28459,61251,29185,75527,71497,0,0,0,0,28366,0,105,104,0,874,39,0,0,0,0,0,0,2246,0,80,116
"MPI-ESM-LR","rcp45",2085,226,4,11383,63904,28456,76898,73244,0,0,0,0,43337,0,105,101,0,874,30,0,0,0,0,0,0,2693,0,248,1155
